,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,27,36,37,38,39,,42,44,48,57,58,59,60,,63,65,69,78,79,80,81,,84,86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STT,Mã,Tên,Sàn,Ngành - ICB 2,Ngành - ICB 4,Ngành - FiinTrade,"Vốn hóa
(N. tỷ VNĐ)",GIÁ,,,,,GD TB 3 tháng,,"ROE
(TTM)",EPS,, P/E ,,, P/B ,,DOANH THU THUẦN,,,,,,,,LỢI NHUẬN SAU THUẾ,,,,,,,,LỢI NHUẬN SAU THUẾ CỔ ĐÔNG CÔNG TY MẸ (NPAT-MI),,,,,,,,"Nguồn cập nhật
KQKD Q1-2026"
,,,,,,,,,4/29/2026,"% 
2 tuần","% 
1 tháng","% 
3 tháng","% 
YTD",KL,GT,,"2026
(kế hoạch)",Tăng trưởng YoY,"TB
3 năm","TTM
(29/4/2026)","2026
(kế hoạch)","TB
3 năm","TTM
(29/4/2026)",Doanh thu thuần,,Tăng trưởng so với cùng kỳ,,,,,,LNST,,Tăng trưởng so với cùng kỳ,,,,,,NPAT-MI,,Tăng trưởng so với cùng kỳ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Q1-26,% KH2026,Q1-25,Q2-25,Q3-25,Q4-25,Q1-26,"2026 
(Kế hoạch)",Q1-26,% KH2026,Q1-25,Q2-25,Q3-25,Q4-25,Q1-26,"2026 
(Kế hoạch)",Q1-26,% KH2026,Q1-25,Q2-25,Q3-25,Q4-25,Q1-26,"2026 
(Kế hoạch)",
,,,,,,,,Tỷ VNĐ,VNĐ,%,%,%,%,Nghìn CP,Tỷ VNĐ,%,VNĐ,%,x,x,x,x,x,Tỷ VNĐ,%,,,,,,%,Tỷ VNĐ,%,,,,,,%,Tỷ VNĐ,%,%,%,,,,%,
,1,VCB,Vietcombank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,  499.669 ,  59.800 ,"-0,2%","1,7%","-14,3%","4,0%",  9.199 ,"  573,7 ","16,7%",  6.318 ,"50,1%","  15,0 ","  13,9 ","  9,5 ","  2,8 ","  2,2 ","  21.179,8 ",,"-0,1%","6,7%","7,2%","8,8%","22,7%",,"  9.462,1 ","17,9%","1,3%","8,8%","5,3%","0,7%","8,7%","50,1%","  9.456,6 ","17,9%","1,4%","8,8%","5,3%","0,7%","8,7%","50,1%",Chính thức
,2,BID,BIDV,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,  291.931 ,  40.100 ,"-0,5%","0,6%","-22,7%","3,1%",  8.423 ,"  369,8 ","18,4%",  -   ,"0,0%","  11,4 ","  9,5 ",  -   ,"  2,0 ","  1,6 ","  20.697,6 ",,"4,2%","9,2%","22,6%","13,9%","15,6%",,"  6.878,8 ",,"0,7%","5,7%","16,7%","44,6%","15,5%",,"  6.800,8 ",,"0,5%","6,1%","15,6%","45,4%","16,4%",,Chính thức
,3,CTG,VietinBank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,  271.455 ,  34.950 ,"-0,3%","0,4%","-8,8%","-2,2%",  11.116 ,"  403,2 ","21,9%",  -   ,"0,0%","  8,6 ","  7,1 ",  -   ,"  1,4 ","  1,5 ","  25.101,6 ",,"7,3%","6,5%","2,7%","10,1%","22,7%",,"  8.960,0 ",,"9,9%","80,3%","63,9%","12,4%","62,9%",,"  8.917,0 ",,"9,3%","80,2%","61,7%","12,9%","64,6%",,Chính thức
,4,TCB,Techcombank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,  239.869 ,  33.850 ,"6,3%","10,4%","-3,0%","-3,0%",  13.029 ,"  421,0 ","15,6%",  4.125 ,"12,2%","  8,5 ","  9,2 ","  8,2 ","  1,2 ","  1,4 ","  13.674,3 ",,"-5,3%","-5,0%","21,2%","54,8%","17,8%",,"  6.950,3 ","23,2%","-4,2%","1,2%","14,2%","104,1%","15,6%","15,6%","  6.671,1 ","22,8%","-4,4%","0,9%","11,9%","98,0%","12,2%","15,6%",Chính thức
,5,VPB,VPBank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,  210.249 ,  26.500 ,"-3,1%","0,2%","-4,2%","-7,5%",  16.366 ,"  440,3 ","16,4%",  4.104 ,"23,8%","  11,5 ","  8,0 ","  6,5 ","  1,2 ","  1,2 ","  19.908,2 ",,"16,1%","2,5%","33,7%","27,0%","27,9%",,"  6.329,5 ","19,1%","25,2%","35,6%","76,8%","61,1%","60,9%","35,7%","  6.198,7 ","19,0%","9,2%","36,3%","80,6%","72,3%","59,1%","35,7%",Chính thức
,6,MBB,MBBank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,  209.833 ,  26.050 ,"-2,1%","-0,4%","-2,4%","3,0%",  23.693 ,"  641,0 ","20,9%",  3.828 ,"11,2%","  6,3 ","  7,6 ","  6,8 ","  1,3 ","  1,5 ","  17.430,2 ",,"27,5%","22,1%","22,8%","17,9%","13,8%",,"  7.702,7 ","24,4%","44,3%","-1,6%","-0,7%","39,5%","15,4%","15,1%","  7.515,5 ","24,4%","44,9%","-2,5%","-3,8%","39,4%","14,4%","15,1%",Chính thức
,7,ACB,ACB,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,  120.711 ,  23.500 ,"-1,3%","-1,3%","-1,3%","-2,1%",  13.130 ,"  308,3 ","17,5%",  3.479 ,"9,9%","  6,7 ","  7,4 ","  6,8 ","  1,4 ","  1,2 ","  8.904,7 ",,"-3,1%","7,4%","3,1%","-4,1%","12,5%",,"  4.320,4 ","24,2%","-5,8%","9,2%","10,6%","-38,7%","17,5%","14,4%","  4.320,4 ","24,2%","-5,8%","9,2%","10,6%","-38,7%","17,5%","14,4%",Chính thức
,8,HDB,HDBank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,  133.140 ,  26.600 ,"1,0%","5,1%","-4,5%","-10,4%",  14.718 ,"  387,1 ","25,4%",  4.656 ,"33,0%","  6,6 ","  7,8 ","  5,7 ","  1,5 ","  1,8 ","  9.952,8 ",,"18,7%","40,3%","11,5%","30,5%","8,1%",,"  4.902,1 ","20,4%","35,6%","13,0%","7,1%","61,9%","12,5%","41,0%","  4.766,6 ","20,5%","36,2%","12,8%","6,5%","64,7%","12,6%","41,0%",Chính thức
,9,VIB,VIBBank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,  55.485 ,  16.300 ,"-0,9%","1,1%","-1,8%","-3,1%",  6.190 ,"  105,3 ","16,4%",  2.714 ,"21,7%","  7,1 ","  7,3 ","  6,0 ","  1,4 ","  1,1 ","  5.860,3 ",,"-13,5%","1,5%","1,4%","0,1%","27,4%",,"  2.241,2 ","24,3%","-3,2%","23,4%","1,6%","-14,2%","15,7%","26,8%","  2.241,2 ","24,3%","-3,2%","23,4%","1,6%","-14,2%","15,7%","26,8%",Chính thức
