,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,STT,NGÀNH,,Ngành,,DN ĐÃ CÔNG BỐ,,,TĂNG TRƯỞNG LỢI NHUẬN SAU THUẾ (YoY),,,,,,,,Nguồn,,,,,,
,,,,,,,Số lượng,% Vốn hóa toàn ngành,,Q1-25,Q2-25,Q3-25,Q4-25,Q1-26,2026,2025,"2024
(kế hoạch)",,,,,,,
,,,,,,,,,,%,%,%,,%,,%,%,,,,,,,
,,,Toàn thị trường,,,,641/1632,"83,3%",,"12,5%","24,1%","39,9%","34,6%","36,5%",,"28,0%",,,,,,,,
,,,Phi tài chính,,,,566/1544,"76,6%",,"8,8%","34,7%","45,1%","53,0%","77,2%",,"36,4%",,,,,,,,
,,,Theo vốn hóa:,,,,,,,,,,,,,,,,,,,,,
,,,VN30,,,,29/30,"99,2%",,"22,8%","12,8%","21,6%","23,3%","19,2%","19,3%","19,3%",,,,,,,,
,,,VNMID,,,,51/70,"75,6%",,"25,5%","17,6%","25,6%","120,3%","35,2%","44,3%","44,3%",,,,,,,,
,,,VNSML,,,,129/201,"64,8%",,"-0,9%","-6,0%","67,8%","55,4%","-8,1%","28,7%","28,7%",,,,,,,,
,,ICB2,Ngân hàng,,Ngân hàng,,26/27,"99,6%",,"15,3%","17,0%","25,2%","20,5%","14,0%","0,0%","19,5%",,,,,,,,
,,ICB2,Bảo hiểm,,Bảo hiểm,,7/13,"20,2%",,"21,2%","-3,6%","203,6%","-28,2%","-3,2%","0,0%","14,2%",,,,,,,,
,,ICB2,Dịch vụ tài chính,,Dịch vụ tài chính,,42/48,"99,3%",,"5,6%","35,0%","185,9%","93,0%","24,7%","0,0%","77,1%",,,,,,,,
,,ICB2,Bất động sản,,Bất động sản,,53/133,"89,7%",,"409,7%","-17,1%","-8,0%","113,6%","41,0%","0,0%","72,1%",,,,,,,,
,,ICB2,Thực phẩm và đồ uống,,Thực phẩm và đồ uống,,63/157,"83,1%",,"8,5%","17,5%","14,2%","16,5%","54,6%","0,0%","16,2%",,,,,,,,
,,ICB2,Hàng & Dịch vụ công nghiệp,,Hàng & Dịch vụ công nghiệp,,86/259,"46,1%",,"9,3%","-5,7%","68,7%","11,9%","37,3%","0,0%","19,1%",,,,,,,,
,,ICB2,Tiện ích,,Tiện ích,,75/145,"77,0%",,"25,3%","45,9%","16,6%","9,7%","17,0%","0,0%","24,3%",,,,,,,,
,,ICB2,Xây dựng và Vật liệu,,Xây dựng và Vật liệu,,99/346,"45,5%",,"16,3%","54,7%","24,2%","54,7%","14,2%","0,0%","42,3%",,,,,,,,
,,ICB2,Du lịch và Giải trí,,Du lịch và Giải trí,,15/50,"78,3%",,"-68,5%","17,3%","-49,3%","468,4%","191,0%","0,0%","-17,8%",,,,,,,,
,,ICB2,Tài nguyên Cơ bản,,Tài nguyên Cơ bản,,39/112,"77,0%",,"24,0%","35,2%","60,8%","59,4%","187,8%","0,0%","45,0%",,,,,,,,
,,ICB2,Hóa chất,,Hóa chất,,38/73,"93,1%",,"38,8%","39,0%","72,3%","-40,0%","52,8%","0,0%","20,6%",,,,,,,,
,,ICB2,Dầu khí,,Dầu khí,,5/12,"63,8%",,"-42,5%","33,4%","270,7%","816,2%","1046,2%","0,0%","301,9%",,,,,,,,
,,ICB2,Viễn thông,,Viễn thông,,3/8,"18,0%",,"17,7%","20,8%","25,5%","34,7%","16,4%","0,0%","24,9%",,,,,,,, 
,,ICB2,Bán lẻ,,Bán lẻ,,14/27,"96,6%",,"74,8%","47,4%","82,5%","127,0%","77,5%","0,0%","83,0%",,,,,,,,
,,ICB2,Công nghệ Thông tin,,Công nghệ Thông tin,,8/27,"89,3%",,"22,2%","20,6%","17,3%","21,5%","-5,4%","0,0%","20,4%",,,,,,,,
,,ICB2,Hàng cá nhân & Gia dụng,,Hàng cá nhân & Gia dụng,,28/79,"62,9%",,"3,2%","25,1%","34,9%","62,4%","67,8%","0,0%","31,8%",,,,,,,,
,,ICB2,Y tế,,Y tế,,22/64,"60,6%",,"8,7%","7,3%","10,4%","1,3%","6,6%","0,0%","6,7%",,,,,,,,
,,ICB2,Truyền thông,,Truyền thông,,10/34,"28,4%",,"29,4%","43,6%","-27,3%","-45,0%","7,7%","0,0%","-11,3%",,,,,,,,
,,ICB2,Ô tô và phụ tùng,,Ô tô và phụ tùng,,8/18,"42,9%",,"-46,9%","932,9%","-40,7%","-37,0%","101,6%","0,0%","262,3%",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,GSM,,,0,,,,,,,,,,,,,,,,,,,
,,POW,,,0,,,,,,,,,,,,,,,,,,,
,,SP2,,,0,,,,,,,,,,,,,,,,,,,
,,S4A,,,0,,,,,,,,,,,,,,,,,,,
,,ND2,,,0,,,,,,,,,,,,,,,,,,,
,,DRL,,,0,,,,,,,,,,,,,,,,,,,
,,SBH,,,0,,,,,,,,,,,,,,,,,,,
,,HJS,,,0,,,,,,,,,,,,,,,,,,,
,,HND,,,0,,,,,,,,,,,,,,,,,,,
,,HAX,,,0,,,,,,,,,,,,,,,,,,,
